seq_no,piece,PC,resolveDir
21,0,2147484444,0
122,0,2147484960,0
199,0,4199612,1
181,0,4199556,0
210,0,4203664,0
235,0,4203732,1
239,0,4204092,0
251,0,4204140,1
245,0,4204116,0
249,0,4204132,0
258,0,4204192,1
262,0,4204220,0
280,0,4199640,0
285,0,4199656,0
296,0,4199696,1
300,0,4201640,0
303,0,4201652,0
305,0,4201660,1
321,0,4496712,0
384,0,4496884,1
352,0,4496796,0
387,0,4496596,0
455,0,4199612,1
437,0,4199556,0
466,0,4203664,0
491,0,4203732,1
495,0,4204092,0
507,0,4204140,1
514,0,4204192,1
501,0,4204116,0
505,0,4204132,0
518,0,4204220,0
536,0,4199640,0
556,0,4201640,0
559,0,4201652,0
577,0,4496712,0
561,0,4201660,1
640,0,4496884,1
541,0,4199656,0
643,0,4496596,0
552,0,4199696,1
608,0,4496796,0
711,0,4199612,1
693,0,4199556,0
722,0,4203664,0
747,0,4203732,1
751,0,4204092,0
763,0,4204140,1
770,0,4204192,1
757,0,4204116,0
761,0,4204132,0
774,0,4204220,0
792,0,4199640,0
812,0,4201640,0
815,0,4201652,0
833,0,4496712,0
817,0,4201660,1
896,0,4496884,1
797,0,4199656,0
899,0,4496596,0
808,0,4199696,1
864,0,4496796,0
967,0,4199612,1
949,0,4199556,0
978,0,4203664,0
1003,0,4203732,1
1007,0,4204092,0
1019,0,4204140,1
1026,0,4204192,1
1013,0,4204116,0
1017,0,4204132,0
1030,0,4204220,0
1048,0,4199640,0
1068,0,4201640,0
1071,0,4201652,0
1089,0,4496712,0
1073,0,4201660,1
1152,0,4496884,1
1053,0,4199656,0
1155,0,4496596,0
1064,0,4199696,1
1222,0,4199612,1
1204,0,4199556,0
1233,0,4203664,0
1258,0,4203732,1
1262,0,4204092,0
1274,0,4204140,1
1281,0,4204192,1
1285,0,4204220,0
1326,0,4201652,0
1407,0,4496884,1
1410,0,4496596,0
1478,0,4199612,1
1460,0,4199556,0
1489,0,4203664,0
1514,0,4203732,1
1518,0,4204092,0
1530,0,4204140,1
1537,0,4204192,1
1541,0,4204220,0
1582,0,4201652,0
1663,0,4496884,1
1666,0,4496596,0
1734,0,4199612,1
1716,0,4199556,0
1745,0,4203664,0
1770,0,4203732,1
1774,0,4204092,0
1786,0,4204140,1
1793,0,4204192,1
1797,0,4204220,0
1838,0,4201652,0
1919,0,4496884,1
1922,0,4496596,0
1990,0,4199612,1
1972,0,4199556,0
2001,0,4203664,0
1120,0,4496796,0
2026,0,4203732,1
1323,0,4201640,0
1268,0,4204116,0
1272,0,4204132,0
1308,0,4199656,0
1303,0,4199640,0
2030,0,4204092,0
1344,0,4496712,0
2042,0,4204140,1
1328,0,4201660,1
2049,0,4204192,1
1319,0,4199696,1
2053,0,4204220,0
2094,0,4201652,0
2175,0,4496884,1
1375,0,4496796,0
2178,0,4496596,0
2246,0,4199612,1
2228,0,4199556,0
2257,0,4203664,0
1579,0,4201640,0
1524,0,4204116,0
1528,0,4204132,0
2282,0,4203732,1
1564,0,4199656,0
1559,0,4199640,0
1600,0,4496712,0
1584,0,4201660,1
1575,0,4199696,1
2286,0,4204092,0
2298,0,4204140,1
2305,0,4204192,1
2309,0,4204220,0
1631,0,4496796,0
2350,0,4201652,0
1835,0,4201640,0
1780,0,4204116,0
1784,0,4204132,0
1820,0,4199656,0
1815,0,4199640,0
1856,0,4496712,0
1840,0,4201660,1
1831,0,4199696,1
1887,0,4496796,0
2091,0,4201640,0
2036,0,4204116,0
2040,0,4204132,0
2076,0,4199656,0
2071,0,4199640,0
2112,0,4496712,0
2096,0,4201660,1
2087,0,4199696,1
2143,0,4496796,0
2347,0,4201640,0
2292,0,4204116,0
2296,0,4204132,0
2332,0,4199656,0
2327,0,4199640,0
2368,0,4496712,0
2352,0,4201660,1
2343,0,4199696,1
2406,0,4496796,1
2409,0,4496584,0
2412,0,4496596,1
2415,0,4496584,0
2421,0,4496584,0
2427,0,4496584,0
2433,0,4496584,0
2418,0,4496596,1
2439,0,4496584,1
2424,0,4496596,1
2430,0,4496596,1
2436,0,4496596,1
2443,0,4496908,1
2446,0,4496536,0
2466,0,4496584,0
2472,0,4496584,0
2478,0,4496584,0
2463,0,4496596,1
2484,0,4496584,0
2469,0,4496596,1
2490,0,4496584,0
2475,0,4496596,1
2496,0,4496584,0
2481,0,4496596,1
2502,0,4496584,0
2487,0,4496596,1
2508,0,4496584,0
2493,0,4496596,1
2514,0,4496584,0
2499,0,4496596,1
2505,0,4496596,1
2511,0,4496596,1
2517,0,4496596,0
2584,0,4199612,1
2566,0,4199556,0
2636,0,4204140,1
2595,0,4203664,0
2624,0,4204092,0
2643,0,4204192,1
2647,0,4204220,0
2620,0,4203732,1
2630,0,4204116,0
2634,0,4204132,0
2665,0,4199640,0
2685,0,4201640,0
2688,0,4201652,0
2706,0,4496712,0
2690,0,4201660,1
2769,0,4496884,1
2670,0,4199656,0
2775,0,4496584,0
2781,0,4496584,0
2787,0,4496584,0
2772,0,4496596,1
2793,0,4496584,0
2778,0,4496596,1
2799,0,4496584,0
2784,0,4496596,1
2805,0,4496584,0
2681,0,4199696,1
2790,0,4496596,1
2811,0,4496584,0
2796,0,4496596,1
2817,0,4496584,0
2802,0,4496596,1
2823,0,4496584,1
2808,0,4496596,1
2814,0,4496596,1
2820,0,4496596,1
2827,0,4496908,0
2737,0,4496796,0
2918,0,4497132,0
2913,0,4497116,0
2927,0,4497164,1
2942,0,4496536,0
2963,0,4496584,0
2969,0,4496584,0
2975,0,4496584,0
2981,0,4496584,0
2960,0,4496596,1
2966,0,4496596,1
2987,0,4496584,0
2972,0,4496596,1
2993,0,4496584,0
2978,0,4496596,1
2999,0,4496584,0
2984,0,4496596,1
3005,0,4496584,0
2990,0,4496596,1
3011,0,4496584,0
2996,0,4496596,1
3002,0,4496596,1
3008,0,4496596,1
3014,0,4496596,0
3085,0,4199612,1
3067,0,4199556,0
3137,0,4204140,1
3096,0,4203664,0
3125,0,4204092,0
3144,0,4204192,1
3148,0,4204220,0
3121,0,4203732,1
3131,0,4204116,0
3135,0,4204132,0
3166,0,4199640,0
3186,0,4201640,0
3189,0,4201652,0
3207,0,4496712,0
3191,0,4201660,1
3171,0,4199656,0
3182,0,4199696,1
3240,0,4496796,1
3243,0,4496584,0
